660,Nieves J. Vargas,Exhilarating Cycles,adventure-works\michael9,nieves0@adventure-works.com,371-555-0184,01/07/2006,
30109,Nieves J. Vargas,Exhilarating Cycles,adventure-works\michael9,nieves0@adventure-works.com,371-555-0184,01/07/2006,
431,Douglas A. Baldwin,Small Cycle Store,adventure-works\michael9,douglas1@adventure-works.com,583-555-0130,01/07/2005,
434,James B. Bailey,Road-Way Mart,adventure-works\david8,james3@adventure-works.com,234-555-0112,01/10/2006,
29532,James B. Bailey,Road-Way Mart,adventure-works\david8,james3@adventure-works.com,234-555-0112,01/10/2006,
29533,Douglas A. Baldwin,Small Cycle Store,adventure-works\michael9,douglas1@adventure-works.com,583-555-0130,01/07/2005,
110,Kendra N. Thompson,Vintage Sport Boutique,adventure-works\david8,kendra0@adventure-works.com,464-555-0188,01/07/2007,
128,Judy J. Thames,Demand Distributors,adventure-works\david8,judy3@adventure-works.com,799-555-0118,01/06/2006,
200,Peggy J. Justice,Basic Bike Company,adventure-works\david8,peggy0@adventure-works.com,170-555-0189,01/07/2005,
344,Karren K. Burkhardt,Fifth Bike Store,adventure-works\david8,karren0@adventure-works.com,652-555-0132,01/07/2005,
398,Shirley R. Bruner,Commendable Bikes,adventure-works\david8,shirley0@adventure-works.com,383-555-0155,01/07/2006,
452,Olga J. Trau,A Cycle Shop,adventure-works\david8,olga0@adventure-works.com,398-555-0167,01/07/2007,
488,Margaret J. Smith,Bicycle Accessories and Kits,adventure-works\david8,margaret0@adventure-works.com,959-555-0151,16/05/2009,
504,Mae M. Black,Historic Bicycle Sales,adventure-works\michael9,mae1@adventure-works.com,264-555-0143,01/07/2005,
528,Helen M. Meyer,Alpine Ski House,adventure-works\linda3,helen2@adventure-works.com,519-555-0112,01/11/2005,
582,Catherine R. Abel,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,16/05/2009,
600,Holly J. Holt,Strenuous Exercise Shop,adventure-works\linda3,holly1@adventure-works.com,654-555-0150,01/07/2007,
625,Kayla M. Stotler,Major Sporting Goods,adventure-works\linda3,kayla0@adventure-works.com,315-555-0131,01/02/2007,
643,Denise R. Maccietto,Friendly Bike Shop,adventure-works\michael9,denise1@adventure-works.com,537-555-0190,01/10/2005,
29485,Catherine R. Abel,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,16/05/2009,
29490,Margaret J. Smith,Bicycle Accessories and Kits,adventure-works\david8,margaret0@adventure-works.com,959-555-0151,16/05/2009,
29566,Mae M. Black,Historic Bicycle Sales,adventure-works\michael9,mae1@adventure-works.com,264-555-0143,01/07/2005,
29599,Shirley R. Bruner,Commendable Bikes,adventure-works\david8,shirley0@adventure-works.com,383-555-0155,01/07/2006,
29606,Karren K. Burkhardt,Fifth Bike Store,adventure-works\david8,karren0@adventure-works.com,652-555-0132,01/07/2005,
29890,Peggy J. Justice,Basic Bike Company,adventure-works\david8,peggy0@adventure-works.com,170-555-0189,01/07/2005,
29973,Denise R. Maccietto,Friendly Bike Shop,adventure-works\michael9,denise1@adventure-works.com,537-555-0190,01/10/2005,
30012,Helen M. Meyer,Alpine Ski House,adventure-works\linda3,helen2@adventure-works.com,519-555-0112,01/11/2005,
30040,Kayla M. Stotler,Major Sporting Goods,adventure-works\linda3,kayla0@adventure-works.com,315-555-0131,01/02/2007,
30064,Judy J. Thames,Demand Distributors,adventure-works\david8,judy3@adventure-works.com,799-555-0118,01/06/2006,
30070,Kendra N. Thompson,Vintage Sport Boutique,adventure-works\david8,kendra0@adventure-works.com,464-555-0188,01/07/2007,
288,Robert L. Barker,Kickstand Sellers,adventure-works\michael9,robert3@adventure-works.com,241-555-0112,01/12/2006,
29536,Robert L. Barker,Kickstand Sellers,adventure-works\michael9,robert3@adventure-works.com,241-555-0112,01/12/2006,
560,Paul L. Alcorn,Major Sport Suppliers,adventure-works\david8,paul2@adventure-works.com,331-555-0162,01/07/2007,
29502,Paul L. Alcorn,Major Sport Suppliers,adventure-works\david8,paul2@adventure-works.com,331-555-0162,01/07/2007,
74,Christopher M. Bright,Parcel Express Delivery Service,adventure-works\david8,christopher2@adventure-works.com,162-555-0166,01/11/2005,
